23/09/2017-West Ham-Tottenham, O_Home:1.47282, D_Home:1.27357, O_Away:2.16315, D_Away:0.7755, Rest Home3, Rest Away3, Win :0.2, Draw :0.24
24/09/2017-Brighton-Newcastle, O_Home:1.06487, D_Home:1.30398, O_Away:1.321, D_Away:1.22674, Rest Home4, Rest Away7, Win :0.36, Draw :0.31
25/09/2017-Arsenal-West Brom, O_Home:2.24862, D_Home:1.01199, O_Away:1.21364, D_Away:1.138, Rest Home4, Rest Away4, Win :0.68, Draw :0.2
05/05/2018-West Brom-Tottenham, O_Home:1.28037, D_Home:1.22852, O_Away:2.41017, D_Away:0.73254, Rest Home6, Rest Away4, Win :0.15, Draw :0.22
06/05/2018-Arsenal-Burnley, O_Home:2.59975, D_Home:1.09151, O_Away:1.32622, D_Away:0.99336, Rest Home2, Rest Away7, Win :0.65, Draw :0.21
06/05/2018-Chelsea-Liverpool, O_Home:2.2257, D_Home:0.84771, O_Away:2.7637, D_Away:0.7805, Rest Home7, Rest Away3, Win :0.35, Draw :0.25
06/05/2018-Man City-Huddersfield, O_Home:2.96031, D_Home:0.63142, O_Away:0.9795, D_Away:1.25216, Rest Home6, Rest Away7, Win :0.92, Draw :0.07
08/05/2018-Swansea-Southampton, O_Home:1.12716, D_Home:1.26078, O_Away:1.43655, D_Away:1.21969, Rest Home6, Rest Away6, Win :0.35, Draw :0.3
09/05/2018-Chelsea-Huddersfield, O_Home:2.2257, D_Home:0.84771, O_Away:0.9795, D_Away:1.25216, Rest Home6, Rest Away6, Win :0.82, Draw :0.15
09/05/2018-Leicester-Arsenal, O_Home:1.55928, D_Home:1.15319, O_Away:2.59975, D_Away:1.09151, Rest Home6, Rest Away6, Win :0.22, Draw :0.22
09/05/2018-Man City-Brighton, O_Home:2.96031, D_Home:0.63142, O_Away:1.24348, D_Away:1.2259, Rest Home6, Rest Away6, Win :0.88, Draw :0.1
09/05/2018-Tottenham-Newcastle, O_Home:2.41017, D_Home:0.73254, O_Away:1.34667, D_Away:1.12661, Rest Home6, Rest Away6, Win :0.79, Draw :0.16
10/05/2018-West Ham-Man United, O_Home:1.50964, D_Home:1.40458, O_Away:2.05078, D_Away:0.83602, Rest Home6, Rest Away6, Win :0.21, Draw :0.24
13/05/2018-Burnley-Bournemouth, O_Home:1.29503, D_Home:1.04852, O_Away:1.55518, D_Away:1.43404, Rest Home6, Rest Away7, Win :0.48, Draw :0.27
13/05/2018-Crystal Palace-West Brom, O_Home:1.72489, D_Home:1.15492, O_Away:1.29171, D_Away:1.19365, Rest Home8, Rest Away7, Win :0.55, Draw :0.26
13/05/2018-Huddersfield-Arsenal, O_Home:1.0106, D_Home:1.20929, O_Away:2.63118, D_Away:1.09471, Rest Home3, Rest Away3, Win :0.15, Draw :0.21
13/05/2018-Liverpool-Brighton, O_Home:2.69234, D_Home:0.76774, O_Away:1.28068, D_Away:1.1821, Rest Home6, Rest Away3, Win :0.84, Draw :0.12
13/05/2018-Man United-Watford, O_Home:2.05078, D_Home:0.83602, O_Away:1.4283, D_Away:1.24332, Rest Home2, Rest Away7, Win :0.67, Draw :0.21
13/05/2018-Newcastle-Chelsea, O_Home:1.35092, D_Home:1.12744, O_Away:2.22757, D_Away:0.84256, Rest Home3, Rest Away3, Win :0.22, Draw :0.26
